time	sigma	t_upRNAPelong
40.64	-0.04069	0
40.68	-0.04103	0
40.72	-0.04103	0
40.76	-0.04137	0
40.800000000000004	-0.04137	0
40.84	-0.04137	0
40.88	-0.04137	0
40.92	-0.04137	0
40.96	-0.04171	0
41.0	-0.04171	0
41.04	-0.04171	0
41.08	-0.04171	0
41.12	-0.04171	0
41.160000000000004	-0.04171	0
41.2	-0.04171	0
41.24	-0.04171	0
41.28	-0.04171	0
41.32	-0.04171	0
41.36	-0.04205	0
41.4	-0.04240	0
41.44	-0.04240	0
41.480000000000004	-0.04240	0
41.52	-0.04240	0
41.56	-0.04240	0
41.6	-0.04240	0
41.64	-0.04240	0
41.68	-0.04240	0
41.72	-0.04274	0
41.76	-0.04274	0
41.800000000000004	-0.04308	0
41.84	-0.04342	0
41.88	-0.04376	0
41.92	-0.04376	0
41.96	-0.04376	0
42.0	-0.04376	0
42.04	-0.04376	0
42.08	-0.04376	0
42.12	-0.04376	0
42.160000000000004	-0.04376	0
42.2	-0.04376	0
42.24	-0.04376	0
42.28	-0.04376	0
42.32	-0.04376	0
42.36	-0.04376	0
42.4	-0.04376	0
42.44	-0.04376	0
42.480000000000004	-0.04376	0
42.52	-0.04376	0
42.56	-0.04376	0
42.6	-0.04376	0
42.64	-0.04411	0
42.68	-0.04445	0
42.72	-0.04445	0
42.76	-0.04445	0
42.800000000000004	-0.04445	0
42.84	-0.04445	0
42.88	-0.04445	0
42.92	-0.04445	0
42.96	-0.04445	0
43.0	-0.04445	0
43.04	-0.04445	0
43.08	-0.04445	0
43.12	-0.04445	0
43.160000000000004	-0.04445	0
43.2	-0.04445	0
43.24	-0.04445	0
43.28	-0.04445	0
43.32	-0.04445	0
43.36	-0.04445	0
43.4	-0.04445	0
43.44	-0.04445	0
43.480000000000004	-0.04479	0
43.52	-0.04479	0
43.56	-0.04479	0
43.6	-0.04479	0
43.64	-0.04479	0
43.68	-0.04479	0
43.72	-0.04479	0
43.76	-0.04479	0
43.800000000000004	-0.04479	0
43.84	-0.04479	0
43.88	-0.04513	0
43.92	-0.04513	0
43.96	-0.04513	0
44.0	-0.04513	0
44.04	-0.04513	0
44.08	-0.04513	0
44.12	-0.04513	0
44.160000000000004	-0.04513	0
44.2	-0.04513	0
44.24	-0.04513	0
44.28	-0.04513	0
44.32	-0.04513	0
44.36	-0.04513	0
44.4	-0.04513	0
